20:51:24 [SocketManager] Server started at port [55981]
20:51:24 [PMATCHING][CreatePartyDirectly]Leader:ElfBuff TotalPartyCnt:1 - Success
20:51:24 [PMATCHING][CreatePartyDirectly]Leader:TEST TotalPartyCnt:2 - Success
20:51:51 [ServerManager][0] AddServer (127.0.0.1)
20:51:51 [ServerManager][0] ServerInfo (MuDevs) (55901) (20)(0)
20:51:55 [ServerManager][1] AddServer (127.0.0.1)
20:51:55 [ServerManager][1] ServerInfo (GameServerCS) (55919) (19)(0)
20:51:56 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
21:01:09 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
21:01:12 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
21:58:36 [PMATCHING][CreateParty]Leader:IKBiv TotalPartyCnt:3 - Success
21:59:57 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
21:59:58 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
22:00:09 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
22:00:09 [PMATCHING][ConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
22:45:50 [PMATCHING][DisConnectMember]LeaderName:ElfBuff, ConnectMemberName:ElfBuff
22:45:51 [PMATCHING][DisConnectMember]LeaderName:IKBiv, ConnectMemberName:IKBiv
